fk_schema_to	fk_table_to	fk_column_to	fk_schema_from	fk_table_from	fk_column_from
Person	Person	BusinessEntityID	HumanResources	Employee	BusinessEntityID
HumanResources	Department	DepartmentID	HumanResources	EmployeeDepartmentHistory	DepartmentID
HumanResources	Employee	BusinessEntityID	HumanResources	EmployeeDepartmentHistory	BusinessEntityID
HumanResources	Shift	ShiftID	HumanResources	EmployeeDepartmentHistory	ShiftID
HumanResources	Employee	BusinessEntityID	HumanResources	EmployeePayHistory	BusinessEntityID
HumanResources	Employee	BusinessEntityID	HumanResources	JobCandidate	BusinessEntityID
Person	StateProvince	StateProvinceID	Person	Address	StateProvinceID
Person	Address	AddressID	Person	BusinessEntityAddress	AddressID
Person	AddressType	AddressTypeID	Person	BusinessEntityAddress	AddressTypeID
Person	BusinessEntity	BusinessEntityID	Person	BusinessEntityAddress	BusinessEntityID
Person	BusinessEntity	BusinessEntityID	Person	BusinessEntityContact	BusinessEntityID
Person	ContactType	ContactTypeID	Person	BusinessEntityContact	ContactTypeID
Person	Person	BusinessEntityID	Person	BusinessEntityContact	PersonID
Person	Person	BusinessEntityID	Person	EmailAddress	BusinessEntityID
Person	Person	BusinessEntityID	Person	Password	BusinessEntityID
Person	BusinessEntity	BusinessEntityID	Person	Person	BusinessEntityID
Person	Person	BusinessEntityID	Person	PersonPhone	BusinessEntityID
Person	PhoneNumberType	PhoneNumberTypeID	Person	PersonPhone	PhoneNumberTypeID
Person	CountryRegion	CountryRegionCode	Person	StateProvince	CountryRegionCode
Sales	SalesTerritory	TerritoryID	Person	StateProvince	TerritoryID
Production	Product	ProductID	Production	BillOfMaterials	ComponentID
Production	Product	ProductID	Production	BillOfMaterials	ProductAssemblyID
Production	UnitMeasure	UnitMeasureCode	Production	BillOfMaterials	UnitMeasureCode
HumanResources	Employee	BusinessEntityID	Production	Document	Owner
Production	ProductModel	ProductModelID	Production	Product	ProductModelID
Production	ProductSubcategory	ProductSubcategoryID	Production	Product	ProductSubcategoryID
Production	UnitMeasure	UnitMeasureCode	Production	Product	SizeUnitMeasureCode
Production	UnitMeasure	UnitMeasureCode	Production	Product	WeightUnitMeasureCode
Production	Product	ProductID	Production	ProductCostHistory	ProductID
Production	Document	DocumentNode	Production	ProductDocument	DocumentNode
Production	Product	ProductID	Production	ProductDocument	ProductID
Production	Location	LocationID	Production	ProductInventory	LocationID
Production	Product	ProductID	Production	ProductInventory	ProductID
Production	Product	ProductID	Production	ProductListPriceHistory	ProductID
Production	Illustration	IllustrationID	Production	ProductModelIllustration	IllustrationID
Production	ProductModel	ProductModelID	Production	ProductModelIllustration	ProductModelID
Production	Culture	CultureID	Production	ProductModelProductDescriptionCulture	CultureID
Production	ProductDescription	ProductDescriptionID	Production	ProductModelProductDescriptionCulture	ProductDescriptionID
Production	ProductModel	ProductModelID	Production	ProductModelProductDescriptionCulture	ProductModelID
Production	Product	ProductID	Production	ProductProductPhoto	ProductID
Production	ProductPhoto	ProductPhotoID	Production	ProductProductPhoto	ProductPhotoID
Production	Product	ProductID	Production	ProductReview	ProductID
Production	ProductCategory	ProductCategoryID	Production	ProductSubcategory	ProductCategoryID
Production	Product	ProductID	Production	TransactionHistory	ProductID
